Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,time,senti_score_exp,Senti_headline,Price,Prediction,Dummy
2004-06-01,0,0,26,85,1,0.716531311,1,0.77,-13.26388702,FALSE
2004-07-01,0,0,27,79,2,1.395612425,1,0.735,-19.70319429,FALSE
2004-08-01,0,0,28,78,3,0.367879441,0,0.76,-20.32725032,TRUE
2004-09-01,0,0,27,92,4,1,0,0.92,-3.561698665,TRUE
2004-10-01,0,0,28,91,5,1,1,1.18,-2.116644598,TRUE
2004-11-01,0,0,27,88,6,0.670320046,0,0.925,-3.906190774,FALSE
2004-12-01,0,0,29,77,7,1,0,0.91,-16.14848598,FALSE
2005-01-01,0,0,30,83,8,1,0,1.02,-8.945580534,TRUE
2005-02-01,0,0,29,88,9,1,0,1.13,-0.94970966,TRUE
2005-03-01,0,0,27,87,10,1,0,1.08,1.588615464,FALSE
2005-04-01,0,0,26,83,11,1,0,1.11,0.005167035,TRUE
2005-05-01,0,0,27,79,12,0.367879441,0,1.18,-2.625977105,TRUE
2005-06-01,0,0,30,73,13,1,1,1.22,-9.169739859,TRUE
2005-07-01,0,0,29,65,14,1,1,1.5,-15.01066353,TRUE
2005-08-01,0,0,31,67,15,2.718281828,0,1.89,-16.88745645,TRUE
2005-09-01,0,0,27,76,16,1,0,1.61,0.352716725,FALSE
2005-10-01,0,0,28,77,17,1,0,1.57,2.233778116,FALSE
2005-11-01,0,0,27,76,18,1.395612425,0,1.66,3.336724139,TRUE
2005-12-01,0,0,31,63,19,2.117000017,1,2,-11.70062324,TRUE
2006-01-01,0,0,30,68,20,1,0,2.1,-3.966796332,TRUE
2006-02-01,0,0,28,71,21,1,0,2.61,2.829004038,TRUE
2006-03-01,0,0,29,73,22,0.60653066,0,3.13,6.278401296,TRUE
2006-04-01,0,0,30,67,23,1,0,3.36,0.20491395,TRUE
2006-05-01,0,0,31,66,24,0.818730753,0,3.28,0.189412679,FALSE
2006-06-01,0,0,30,60,25,2.117000017,1,2.968,-3.492904373,FALSE
2006-07-01,0,0,31,53,26,1,0,3.4,-10.38883744,TRUE
2006-08-01,0,0,31,53,27,1,0,3.588,-8.643477737,TRUE
2006-09-01,0,0,32,63,28,1,0,3.728,2.816902956,TRUE
2006-10-01,0,0,30,63,29,1,0,4.3,6.419596892,TRUE
2006-11-01,0,0,31,63,30,0.670320046,2,5.54,11.04401381,TRUE
2006-12-01,0,0,34,51,31,1,0,6.07,-6.576777925,TRUE
2007-01-01,0,0,34,59,32,1.947734041,1,5.31,4.162377044,FALSE
2007-02-01,0,0,31,59,33,0.60653066,0,5.1,8.718860374,FALSE
2007-03-01,0,0,31,60,34,1,0,5.37,11.02462183,TRUE
