Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-03-31,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.81,,,False
2013-04-01,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.81,4.81,0.0,False
2013-04-02,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.78,4.81,-0.03,False
2013-04-03,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.8,4.78,0.02,True
2013-04-04,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.8,4.8,0.0,False
2013-04-05,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.66,4.8,-0.14,False
2013-04-06,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.66,4.66,0.0,False
2013-04-07,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.66,4.66,0.0,False
2013-04-08,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.77,4.66,0.11,True
2013-04-09,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.73,4.77,-0.04,False
2013-04-10,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.82,4.73,0.09,True
2013-04-11,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.84,4.82,0.02,True
2013-04-12,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.86,4.84,0.02,True
2013-04-13,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.86,4.86,0.0,False
2013-04-14,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.86,4.86,0.0,False
2013-04-15,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.52,4.86,-0.34,False
2013-04-16,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.54,4.52,0.02,True
2013-04-17,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.55,4.54,0.01,True
2013-04-18,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.68,4.55,0.13,True
2013-04-19,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.63,4.68,-0.05,False
2013-04-20,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.63,4.63,0.0,False
2013-04-21,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.63,4.63,0.0,False
2013-04-22,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.71,4.63,0.08,True
2013-04-23,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.67,4.71,-0.04,False
2013-04-24,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.69,4.67,0.02,True
2013-04-25,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.76,4.69,0.07,True
2013-04-26,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.64,4.76,-0.12,False
2013-04-27,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.64,4.64,0.0,False
2013-04-28,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.64,4.64,0.0,False
2013-04-29,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.59,4.64,-0.05,False
2013-04-30,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.73,4.59,0.14,True
2013-05-01,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.73,4.73,0.0,False
2013-05-02,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.65,4.73,-0.08,False
2013-05-03,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.68,4.65,0.03,True
2013-05-04,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.68,4.68,0.0,False
2013-05-05,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.68,4.68,0.0,False
2013-05-06,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.72,4.68,0.04,True
2013-05-07,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.86,4.72,0.14,True
2013-05-08,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.96,4.86,0.1,True
2013-05-09,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.0,4.96,0.04,True
2013-05-10,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.05,5.0,0.05,True
2013-05-11,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.05,5.05,0.0,False
2013-05-12,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.05,5.05,0.0,False
2013-05-13,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.91,5.05,-0.14,False
2013-05-14,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.97,4.91,0.06,True
2013-05-15,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.01,4.97,0.04,True
2013-05-16,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.88,5.01,-0.13,False
2013-05-17,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.88,4.88,0.0,False
2013-05-18,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.88,4.88,0.0,False
2013-05-19,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.88,4.88,0.0,False
2013-05-20,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.97,4.88,0.09,True
2013-05-21,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.96,4.97,-0.01,False
2013-05-22,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.19,4.96,0.23,True
2013-05-23,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.18,5.19,-0.01,False
2013-05-24,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.1,5.18,-0.08,False
2013-05-25,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.1,5.1,0.0,False
2013-05-26,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.1,5.1,0.0,False
2013-05-27,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.12,5.1,0.02,True
2013-05-28,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.06,5.12,-0.06,False
2013-05-29,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.08,5.06,0.02,True
2013-05-30,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.99,5.08,-0.09,False
2013-05-31,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.82,4.99,-0.17,False
2013-06-01,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.82,4.82,0.0,False
2013-06-02,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.82,4.82,0.0,False
2013-06-03,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.95,4.82,0.13,True
2013-06-04,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,4.93,4.95,-0.02,False
2013-06-05,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.1,4.93,0.17,True
2013-06-06,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.08,5.1,-0.02,False
2013-06-07,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.01,5.08,-0.07,False
2013-06-08,10739.0,7433.0,3306.0,,651.0,33.0,684.0,2623.0,13.0,-2.0,2608.0,624.0,1984.0,1810.0,1810.0,,,3392.0,3983,5.01,5.01,0.0,False
