Date,Revenue,Interest_income,Other_assets,Total_interest_income,Interest_expense,Other_expense,Total_interest_expense,Net_interest_income,Noninterest_revenue,Commissions_and_fees,Other_income,Total_noninterest_revenue,Total_net_revenue,Noninterest_expenses,Tech__communication_and_equipment,Other_special_charges,Other_expenses,Total_noninterest_expenses,Income__loss__from_cont_ops_before_taxes,Provision__benefit__for_taxes,Other_income__expense_,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,Basic_1,Diluted_1,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-03-31,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.6,,,False
2013-04-01,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.6,3.6,0.0,False
2013-04-02,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.57,3.6,-0.03,False
2013-04-03,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.56,3.57,-0.01,False
2013-04-04,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.56,3.56,0.0,False
2013-04-05,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.47,3.56,-0.09,False
2013-04-06,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.47,3.47,0.0,False
2013-04-07,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.47,3.47,0.0,False
2013-04-08,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.46,3.47,-0.01,False
2013-04-09,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.51,3.46,0.05,True
2013-04-10,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.52,3.51,0.01,True
2013-04-11,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.52,3.52,0.0,False
2013-04-12,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.54,3.52,0.02,True
2013-04-13,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.54,3.54,0.0,False
2013-04-14,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.54,3.54,0.0,False
2013-04-15,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.48,3.54,-0.06,False
2013-04-16,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.49,3.48,0.01,True
2013-04-17,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.45,3.49,-0.04,False
2013-04-18,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.42,3.45,-0.03,False
2013-04-19,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.52,3.42,0.1,True
2013-04-20,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.52,3.52,0.0,False
2013-04-21,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.52,3.52,0.0,False
2013-04-22,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.5,3.52,-0.02,False
2013-04-23,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.44,3.5,-0.06,False
2013-04-24,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.51,3.44,0.07,True
2013-04-25,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.53,3.51,0.02,True
2013-04-26,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.58,3.53,0.05,True
2013-04-27,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.58,3.58,0.0,False
2013-04-28,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.58,3.58,0.0,False
2013-04-29,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.59,3.58,0.01,True
2013-04-30,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.63,3.59,0.04,True
2013-05-01,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.63,3.63,0.0,False
2013-05-02,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.62,3.63,-0.01,False
2013-05-03,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.65,3.62,0.03,True
2013-05-04,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.65,3.65,0.0,False
2013-05-05,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.65,3.65,0.0,False
2013-05-06,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.69,3.65,0.04,True
2013-05-07,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.72,3.69,0.03,True
2013-05-08,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.77,3.72,0.05,True
2013-05-09,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.79,3.77,0.02,True
2013-05-10,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.82,3.79,0.03,True
2013-05-11,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.82,3.82,0.0,False
2013-05-12,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.82,3.82,0.0,False
2013-05-13,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.74,3.82,-0.08,False
2013-05-14,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.73,3.74,-0.01,False
2013-05-15,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.78,3.73,0.05,True
2013-05-16,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.76,3.78,-0.02,False
2013-05-17,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.76,3.76,0.0,False
2013-05-18,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.76,3.76,0.0,False
2013-05-19,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.76,3.76,0.0,False
2013-05-20,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.82,3.76,0.06,True
2013-05-21,,,506528.0,,,249564.0,249564.0,,,69923.0,39204.0,109127.0,,,116436.0,42312.0,-158748.0,,366091.0,41858.0,-184801.0,139432.0,139432.0,,,278864.0,290483.0,3988,3.77,3.82,-0.05,False
