Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Research_and_development,Sales__General_and_administrative,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-03-31,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,,,False
2013-04-01,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-02,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-03,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-04,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-05,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-06,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-07,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-08,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-09,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-10,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-11,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-12,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-13,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-14,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-15,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-16,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-17,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-18,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-19,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-20,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-21,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-22,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-23,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-24,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-25,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-26,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-27,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-28,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-29,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-04-30,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-01,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-02,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-03,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-04,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-05,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-06,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-07,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-08,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
2013-05-09,486.0,223.0,263.0,,,65.0,65.0,198.0,4.0,-1.0,193.0,43.0,150.0,147.0,147.0,,,211.0,6888,2.55,2.55,0.0,False
