Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Preferred_dividend,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-03-31,,,,,,,,,,,,,,,,,,,,6889,13.5,,,False
2013-04-01,,,,,,,,,,,,,,,,,,,,6889,13.5,13.5,0.0,False
2013-04-02,,,,,,,,,,,,,,,,,,,,6889,13.6,13.5,0.1,True
2013-04-03,,,,,,,,,,,,,,,,,,,,6889,13.64,13.6,0.04,True
2013-04-04,,,,,,,,,,,,,,,,,,,,6889,13.64,13.64,0.0,False
2013-04-05,,,,,,,,,,,,,,,,,,,,6889,13.6,13.64,-0.04,False
2013-04-06,,,,,,,,,,,,,,,,,,,,6889,13.6,13.6,0.0,False
2013-04-07,,,,,,,,,,,,,,,,,,,,6889,13.6,13.6,0.0,False
2013-04-08,,,,,,,,,,,,,,,,,,,,6889,13.6,13.6,0.0,False
2013-04-09,,,,,,,,,,,,,,,,,,,,6889,13.6,13.6,0.0,False
2013-04-10,,,,,,,,,,,,,,,,,,,,6889,13.58,13.6,-0.02,False
2013-04-11,,,,,,,,,,,,,,,,,,,,6889,13.46,13.58,-0.12,False
2013-04-12,,,,,,,,,,,,,,,,,,,,6889,13.66,13.46,0.2,True
2013-04-13,,,,,,,,,,,,,,,,,,,,6889,13.66,13.66,0.0,False
2013-04-14,,,,,,,,,,,,,,,,,,,,6889,13.66,13.66,0.0,False
2013-04-15,,,,,,,,,,,,,,,,,,,,6889,13.5,13.66,-0.16,False
2013-04-16,,,,,,,,,,,,,,,,,,,,6889,13.2,13.5,-0.3,False
2013-04-17,,,,,,,,,,,,,,,,,,,,6889,13.48,13.2,0.28,True
2013-04-18,,,,,,,,,,,,,,,,,,,,6889,13.34,13.48,-0.14,False
2013-04-19,,,,,,,,,,,,,,,,,,,,6889,13.3,13.34,-0.04,False
2013-04-20,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-04-21,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-04-22,,,,,,,,,,,,,,,,,,,,6889,13.42,13.3,0.12,True
2013-04-23,,,,,,,,,,,,,,,,,,,,6889,13.5,13.42,0.08,True
2013-04-24,,,,,,,,,,,,,,,,,,,,6889,13.56,13.5,0.06,True
2013-04-25,,,,,,,,,,,,,,,,,,,,6889,13.48,13.56,-0.08,False
2013-04-26,,,,,,,,,,,,,,,,,,,,6889,13.3,13.48,-0.18,False
2013-04-27,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-04-28,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-04-29,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-04-30,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-05-01,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-05-02,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-05-03,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-05-04,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-05-05,,,,,,,,,,,,,,,,,,,,6889,13.3,13.3,0.0,False
2013-05-06,,,,,,,,,,,,,,,,,,,,6889,13.4,13.3,0.1,True
2013-05-07,,,,,,,,,,,,,,,,,,,,6889,13.32,13.4,-0.08,False
2013-05-08,,,,,,,,,,,,,,,,,,,,6889,13.3,13.32,-0.02,False
2013-05-09,,,,,,,,,,,,,,,,,,,,6889,13.24,13.3,-0.06,False
2013-05-10,,,,,,,,,,,,,,,,,,,,6889,13.1,13.24,-0.14,False
2013-05-11,,,,,,,,,,,,,,,,,,,,6889,13.1,13.1,0.0,False
2013-05-12,,,,,,,,,,,,,,,,,,,,6889,13.1,13.1,0.0,False
2013-05-13,,,,,,,,,,,,,,,,,,,,6889,13.1,13.1,0.0,False
2013-05-14,,,,,,,,,,,,,,,,,,,,6889,13.08,13.1,-0.02,False
2013-05-15,,,,,,,,,,,,,,,,,,,,6889,13.1,13.08,0.02,True
2013-05-16,,,,,,,,,,,,,,,,,,,,6889,13.0,13.1,-0.1,False
2013-05-17,,,,,,,,,,,,,,,,,,,,6889,13.0,13.0,0.0,False
2013-05-18,,,,,,,,,,,,,,,,,,,,6889,13.0,13.0,0.0,False
2013-05-19,,,,,,,,,,,,,,,,,,,,6889,13.0,13.0,0.0,False
2013-05-20,,,,,,,,,,,,,,,,,,,,6889,12.72,13.0,-0.28,False
2013-05-21,,,,,,,,,,,,,,,,,,,,6889,12.72,12.72,0.0,False
2013-05-22,,,,,,,,,,,,,,,,,,,,6889,12.7,12.72,-0.02,False
2013-05-23,,,,,,,,,,,,,,,,,,,,6889,12.88,12.7,0.18,True
2013-05-24,,,,,,,,,,,,,,,,,,,,6889,12.86,12.88,-0.02,False
2013-05-25,,,,,,,,,,,,,,,,,,,,6889,12.86,12.86,0.0,False
2013-05-26,,,,,,,,,,,,,,,,,,,,6889,12.86,12.86,0.0,False
2013-05-27,,,,,,,,,,,,,,,,,,,,6889,12.72,12.86,-0.14,False
2013-05-28,,,,,,,,,,,,,,,,,,,,6889,12.8,12.72,0.08,True
2013-05-29,,,,,,,,,,,,,,,,,,,,6889,13.0,12.8,0.2,True
2013-05-30,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.16,13.0,0.16,True
2013-05-31,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.16,13.16,0.0,False
2013-06-01,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.16,13.16,0.0,False
2013-06-02,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.16,13.16,0.0,False
2013-06-03,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.14,13.16,-0.02,False
2013-06-04,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.12,13.14,-0.02,False
2013-06-05,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.08,13.12,-0.04,False
2013-06-06,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.0,13.08,-0.08,False
2013-06-07,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.14,13.0,0.14,True
2013-06-08,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.14,13.14,0.0,False
2013-06-09,163961.0,133904.0,30057.0,,3112.0,1906.0,5018.0,25039.0,363.0,8760.0,33436.0,12511.0,20925.0,20925.0,,20925.0,,,44779.0,6889,13.14,13.14,0.0,False
