Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Research_and_development,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-03-31,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,,,False
2013-04-01,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-02,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-03,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-04,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-05,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-06,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-07,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-08,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-09,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-10,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-11,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-12,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-13,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-14,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-15,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-16,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-17,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-18,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-19,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-20,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-21,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-22,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-23,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-24,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-25,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-26,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-27,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-28,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-29,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-04-30,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-01,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-02,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-03,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-04,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-05,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-06,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-07,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-08,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-09,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-10,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-11,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-12,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-13,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-14,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-15,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-16,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-17,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-18,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-19,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-20,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-21,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-22,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-23,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-24,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-25,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-26,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-27,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-28,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-29,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-30,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-05-31,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-01,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-02,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-03,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-04,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-05,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
2013-06-06,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.32,1.32,0.0,False
