Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,Price,Predict_by_MLR,Price_ytd
2004-06-01,0,0,26,85,0.77,-41.69720947,
2004-07-01,0,0,27,79,0.735,-22.24878633,0.77
2004-08-01,0,0,28,78,0.76,-20.01406212,0.735
2004-09-01,0,0,27,92,0.92,-67.00440354,0.76
2004-10-01,0,0,28,91,1.18,-64.76967933,0.92
2004-11-01,0,0,27,88,0.925,-53.2334444,1.18
2004-12-01,0,0,29,77,0.91,-17.7793379,0.925
2005-01-01,0,0,30,83,1.02,-39.64379219,0.91
2005-02-01,0,0,29,88,1.13,-55.64947554,1.02
2005-03-01,0,0,27,87,1.08,-49.79070462,1.13
2005-04-01,0,0,26,83,1.11,-34.8117299,1.08
2005-05-01,0,0,27,79,1.18,-22.24878633,1.11
2005-06-01,0,0,30,73,1.22,-5.216394333,1.18
2005-07-01,0,0,29,65,1.5,23.53353952,1.22
2005-08-01,0,0,31,67,1.89,14.23202881,1.5
2005-09-01,0,0,27,76,1.61,-11.92056698,1.89
2005-10-01,0,0,28,77,1.57,-16.57132233,1.61
2005-11-01,0,0,27,76,1.66,-11.92056698,1.57
2005-12-01,0,0,31,63,2.0,28.00298795,1.66
2006-01-01,0,0,30,68,2.1,11.99730459,2.0
2006-02-01,0,0,28,71,2.61,4.085116378,2.1
2006-03-01,0,0,29,73,3.13,-4.008378763,2.61
2006-04-01,0,0,30,67,3.36,15.44004438,3.13
2006-05-01,0,0,31,66,3.28,17.67476859,3.36
2006-06-01,0,0,30,60,2.968,39.53922287,3.28
2006-07-01,0,0,31,53,3.4,62.4303858,2.968
2006-08-01,0,0,31,53,3.588,62.4303858,3.4
2006-09-01,0,0,32,63,3.728,26.79497238,3.588
2006-10-01,0,0,30,63,4.3,29.21100352,3.728
2006-11-01,0,0,31,63,5.54,28.00298795,4.3
2006-12-01,0,0,34,51,6.07,65.69181866,5.54
2007-01-01,0,0,34,59,5.31,38.14990038,6.07
2007-02-01,0,0,31,59,5.1,41.77394709,5.31
2007-03-01,0,0,31,60,5.37,38.3312073,5.1
2007-04-01,0,0,32,58,6.74,44.0086713,5.37
2007-05-01,0,0,35,58,6.29,40.38462459,6.74
2007-06-01,0,0,35,53,7.24,57.59832352,6.29
2007-07-01,0,0,39,50,8.1,63.0944806,7.24
2007-08-01,0,0,36,50,10.04,66.71852731,8.1
2007-09-01,0,0,36,57,13.2,42.61934881,10.04
2007-10-01,0,0,37,61,11.7,27.6403741,13.2
2007-11-01,0,0,40,58,12.0,34.34454674,11.7
2007-12-01,0,0,45,47,9.25,66.17460653,12.0
2008-01-01,0,0,42,54,9.94,45.69947474,9.25
2008-02-01,0,0,42,55,8.85,42.25673496,9.94
2008-03-01,0,0,43,56,10.31,37.6059796,8.85
2008-04-01,0,0,40,56,13.14,41.23002631,10.31
2008-05-01,0,0,42,52,12.06,52.58495432,13.14
2008-06-01,0,0,43,49,13.91,61.7051581,12.06
2008-07-01,0,0,45,45,13.4,73.0600861,13.91
2008-08-01,0,0,49,45,11.1,68.22802382,13.4
2008-09-01,0,0,45,53,11.0,45.51816782,11.1
2008-10-01,0,0,44,54,8.5,43.2834436,11.0
2008-11-01,0,0,46,53,10.0,44.31015225,8.5
2008-12-01,0,0,48,45,9.68,69.43603939,10.0
2009-01-01,0,0,48,51,8.99,48.77960068,9.68
2009-02-01,0,0,46,53,11.48,44.31015225,8.99
2009-03-01,0,0,45,54,13.8,42.07542803,11.48
2009-04-01,0,0,44,52,17.280001,50.16892317,13.8
2009-05-01,0,0,46,49,18.09,58.08111139,17.280001
2009-06-01,0,0,46,46,20.92,68.40933075,18.09
2009-07-01,0,0,48,43,23.059999,76.32151896,20.92
2009-08-01,0,0,47,44,25.219999,74.08679475,23.059999
2009-09-01,0,0,43,52,27.42,51.37693874,25.219999
2009-10-01,0,0,43,54,28.66,44.49145917,27.42
2009-11-01,0,0,43,55,33.799999,41.04871939,28.66
2009-12-01,0,0,47,45,29.040001,70.64405496,33.799999
2010-01-01,0,0,43,49,30.440001,61.7051581,29.040001
2010-02-01,0,0,43,53,31.16,47.93419896,30.440001
2010-03-01,0,0,42,54,32.68,45.69947474,31.16
2010-04-01,0,0,43,51,30.040001,54.81967853,32.68
2010-05-01,0,0,44,49,26.1,60.49714253,30.040001
2010-06-01,0,0,45,47,29.940001,66.17460653,26.1
2010-07-01,0,0,74,42,28.459999,48.35585392,29.940001
2010-08-01,0,0,76,42,33.919998,45.93982278,28.459999
2010-09-01,0,0,73,49,35.5,25.464691,33.919998
2010-10-01,0,0,71,50,34.540001,24.43798235,35.5
2010-11-01,0,0,70,48,33.779999,32.53147749,34.540001
2010-12-01,0,0,77,40,40.400002,51.61728678,33.779999
2011-01-01,0,2,75,46,41.200001,34.69387773,40.400002
2011-02-01,0,1,70,47,37.900002,36.63271654,41.200001
2011-03-01,0,1,72,48,44.200001,30.77394561,37.900002
2011-04-01,0,1,80,44,44.759998,34.88078019,44.200001
2011-05-01,0,2,82,44,42.240002,33.12324831,44.759998
