,Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,time,senti_score_exp,Senti_headline,Predict_RF
0,2004-06-01,0,0,26,85,1,0.716531311,1,0
1,2004-07-01,0,0,27,79,2,1.395612425,1,0
2,2004-08-01,0,0,28,78,3,0.367879441,0,0
3,2004-09-01,0,0,27,92,4,1.0,0,0
4,2004-10-01,0,0,28,91,5,1.0,1,0
5,2004-11-01,0,0,27,88,6,0.670320046,0,0
6,2004-12-01,0,0,29,77,7,1.0,0,0
7,2005-01-01,0,0,30,83,8,1.0,0,0
8,2005-02-01,0,0,29,88,9,1.0,0,0
9,2005-03-01,0,0,27,87,10,1.0,0,0
10,2005-04-01,0,0,26,83,11,1.0,0,0
11,2005-05-01,0,0,27,79,12,0.367879441,0,0
12,2005-06-01,0,0,30,73,13,1.0,1,0
13,2005-07-01,0,0,29,65,14,1.0,1,0
14,2005-08-01,0,0,31,67,15,2.718281828,0,0
15,2005-09-01,0,0,27,76,16,1.0,0,0
16,2005-10-01,0,0,28,77,17,1.0,0,0
17,2005-11-01,0,0,27,76,18,1.395612425,0,0
18,2005-12-01,0,0,31,63,19,2.117000017,1,0
19,2006-01-01,0,0,30,68,20,1.0,0,0
20,2006-02-01,0,0,28,71,21,1.0,0,0
21,2006-03-01,0,0,29,73,22,0.60653066,0,0
22,2006-04-01,0,0,30,67,23,1.0,0,0
23,2006-05-01,0,0,31,66,24,0.818730753,0,0
24,2006-06-01,0,0,30,60,25,2.117000017,1,0
25,2006-07-01,0,0,31,53,26,1.0,0,0
26,2006-08-01,0,0,31,53,27,1.0,0,0
27,2006-09-01,0,0,32,63,28,1.0,0,0
28,2006-10-01,0,0,30,63,29,1.0,0,0
29,2006-11-01,0,0,31,63,30,0.670320046,2,0
30,2006-12-01,0,0,34,51,31,1.0,0,0
31,2007-01-01,0,0,34,59,32,1.947734041,1,0
32,2007-02-01,0,0,31,59,33,0.60653066,0,0
33,2007-03-01,0,0,31,60,34,1.0,0,0
34,2007-04-01,0,0,32,58,35,1.0,0,0
35,2007-05-01,0,0,35,58,36,1.535063009,1,0
36,2007-06-01,0,0,35,53,37,1.0,0,0
