Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,Price,Predict_by_MLR,Price_ytd,Predict_ytd,Dummy,Predict_Mean
2004-06-01,0,0,26,85,0.77,-41.69720947,,,,
2004-07-01,0,0,27,79,0.735,-22.24878633,0.77,-41.69720947,FALSE,-41.69720947
2004-08-01,0,0,28,78,0.76,-20.01406212,0.735,-22.24878633,FALSE,-41.69720947
2004-09-01,0,0,27,92,0.92,-67.00440354,0.76,-20.01406212,TRUE,-31.9729979
2004-10-01,0,0,28,91,1.18,-64.76967933,0.92,-67.00440354,FALSE,-27.98668597
2004-11-01,0,0,27,88,0.925,-53.2334444,1.18,-64.76967933,FALSE,-37.74111537
2004-12-01,0,0,29,77,0.91,-17.7793379,0.925,-53.2334444,FALSE,-43.14682816
2005-01-01,0,0,30,83,1.02,-39.64379219,0.91,-17.7793379,TRUE,-44.82793087
2005-02-01,0,0,29,88,1.13,-55.64947554,1.02,-39.64379219,TRUE,-40.84161894
2005-03-01,0,0,27,87,1.08,-49.79070462,1.13,-55.64947554,FALSE,-43.74078658
2005-04-01,0,0,26,83,1.11,-34.8117299,1.08,-49.79070462,FALSE,-49.68002215
2005-05-01,0,0,27,79,1.18,-22.24878633,1.11,-34.8117299,FALSE,-46.81107233
2005-06-01,0,0,30,73,1.22,-5.216394333,1.18,-22.24878633,FALSE,-41.81808076
2005-07-01,0,0,29,65,1.5,23.53353952,1.22,-5.216394333,FALSE,-36.65397108
2005-08-01,0,0,31,67,1.89,14.23202881,1.5,23.53353952,TRUE,-34.56014715
2005-09-01,0,0,27,76,1.61,-11.92056698,1.89,14.23202881,TRUE,-24.03059187
2005-10-01,0,0,28,77,1.57,-16.57132233,1.61,-11.92056698,TRUE,-12.38367448
2005-11-01,0,0,27,76,1.66,-11.92056698,1.57,-16.57132233,FALSE,-6.071984869
2005-12-01,0,0,31,63,2,28.00298795,1.66,-11.92056698,FALSE,-3.031916941
2006-01-01,0,0,30,68,2.1,11.99730459,2,28.00298795,TRUE,-1.310547049
2006-02-01,0,0,28,71,2.61,4.085116378,2.1,11.99730459,TRUE,4.226016665
2006-03-01,0,0,29,73,3.13,-4.008378763,2.61,4.085116378,TRUE,2.303310843
2006-04-01,0,0,30,67,3.36,15.44004438,3.13,-4.008378763,FALSE,0.6121587713
2006-05-01,0,0,31,66,3.28,17.67476859,3.36,15.44004438,FALSE,1.930856808
2006-06-01,0,0,30,60,2.968,39.53922287,3.28,17.67476859,FALSE,7.266084593
2006-07-01,0,0,31,53,3.4,62.4303858,2.968,39.53922287,FALSE,12.19864052
2006-08-01,0,0,31,53,3.588,62.4303858,3.4,62.4303858,FALSE,14.12134634
2006-09-01,0,0,32,63,3.728,26.79497238,3.588,62.4303858,TRUE,22.52685988
2006-10-01,0,0,30,63,4.3,29.21100352,3.728,26.79497238,FALSE,32.25107145
2006-11-01,0,0,31,63,5.54,28.00298795,4.3,29.21100352,TRUE,37.3849633
2006-12-01,0,0,34,51,6.07,65.69181866,5.54,28.00298795,FALSE,39.68012316
2007-01-01,0,0,34,59,5.31,38.14990038,6.07,65.69181866,TRUE,41.40149305
2007-02-01,0,0,31,59,5.1,41.77394709,5.31,38.14990038,FALSE,45.76025902
2007-03-01,0,0,31,60,5.37,38.3312073,5.1,41.77394709,TRUE,41.71351145
2007-04-01,0,0,32,58,6.74,44.0086713,5.37,38.3312073,FALSE,38.27077166
2007-05-01,0,0,35,58,6.29,40.38462459,6.74,44.0086713,TRUE,40.19347748
2007-06-01,0,0,35,53,7.24,57.59832352,6.29,40.38462459,FALSE,42.65975545
2007-07-01,0,0,39,50,8.1,63.0944806,7.24,57.59832352,FALSE,44.72336155
2007-08-01,0,0,36,50,10.04,66.71852731,8.1,63.0944806,FALSE,43.3744457
2007-09-01,0,0,36,57,13.2,42.61934881,10.04,66.71852731,TRUE,47.53187573
2007-10-01,0,0,37,61,11.7,27.6403741,13.2,42.61934881,TRUE,51.68930577
2007-11-01,0,0,40,58,12,34.34454674,11.7,27.6403741,FALSE,52.40399602
2007-12-01,0,0,45,47,9.25,66.17460653,12,34.34454674,FALSE,49.67594649
2008-01-01,0,0,42,54,9.94,45.69947474,9.25,66.17460653,TRUE,48.66926685
2008-02-01,0,0,42,55,8.85,42.25673496,9.94,45.69947474,TRUE,50.09864735
2008-03-01,0,0,43,56,10.31,37.6059796,8.85,42.25673496,TRUE,47.19947971
2008-04-01,0,0,40,56,13.14,41.23002631,10.31,37.6059796,FALSE,43.12251431
