,long,short
0,00216,
1,00389,
2,00020,
3,00997,
4,03918,
5,00608,
6,01823,
7,00158,
8,00943,
9,01298,
10,00698,
11,03808,
12,00725,
13,01258,
14,00508,
15,01699,
16,00929,
17,00229,
18,01076,
19,03683,
20,00070,
21,00590,
22,00472,
23,00832,
24,03323,
25,00328,
26,00560,
27,00491,
28,01069,
29,01999,
1597,,01192
1598,,01985
1599,,01667
1600,,01617
1601,,01548
1602,,01982
1603,,00948
1604,,00854
1605,,01272
1606,,01347
1607,,01647
1608,,01660
1609,,01609
1610,,01626
1611,,01596
1612,,01518
1613,,02281
1614,,01420
1615,,03768
1616,,02293
1617,,03329
1618,,01245
1619,,00994
1620,,02269
1621,,01676
1622,,01702
1623,,01932
1624,,01163
1625,,01631
1626,,03335
